0.4000000000000003 ps 
-823.361 1012.83 971.21
332.896 -991.826 -130.977
472.215 -28.3828 -895.504
690.598 693.616 1220.75
-562.72 85.1971 -624.761
-294.842 -366.416 -382.38
-1758.11 98.965 -93.1536
823.075 331.504 -287.456
957.074 -286.529 190.321
-941.142 -1127.85 309.137
312.701 480.79 -505.372
858.379 621.489 292.573
726.613 -1335.06 -1099.25
48.9346 928.493 349.235
-816.218 431.821 654.168
-1466.59 -1.32226 560.064
819.848 437.484 -722.445
661.011 -59.5235 637.855
-157.298 1481.98 -592.476
169.998 -1081.73 -56.9991
-41.4501 -570.102 778.147
1613.86 -755.281 -1110.56
-566.209 540.083 1023.78
-1016.38 185.006 -164.774
-1567.96 -895.287 888.974
573.389 469.071 -962.259
1267.73 266.457 107.909
-976.396 85.4143 1804.05
439.592 -601.731 -777.211
400.021 637.583 -910.602
-249.518 21.9949 1936.57
158.18 -116.748 -1270.78
-49.2131 205.299 -370.014
347.467 1239.11 -274.982
-651.658 -561.211 89.0271
275.19 -679.679 125.967
1230.88 -1556.77 -1020.15
-811.279 1045.93 739.553
-220.787 250.59 409.324
-406.784 -2143.65 781.75
733.988 961.754 -296.579
-346.45 1107.79 -542.007
923.073 -184.95 -1492.94
-529.438 397.501 448.554
-453.369 -184.766 832.806
540.451 -315.695 754.015
-348.936 34.5523 -394.615
-281.215 445.38 -368.434
145.211 807.329 1458.36
-310.73 -143.462 -820.904
132.345 -829.738 -545.608
-822.423 -808.568 152.648
91.13 171.014 -183.226
903.15 559.478 39.9642
340.905 252.847 1419.29
-472.777 -117.37 -476.54
191.582 -172.85 -970.056
-1865.84 175.124 727.552
867.929 -853.106 234.341
809.159 723.224 -644.473
-81.981 -1421.55 -1323.01
-82.0284 682.894 1279.97
378.103 760.092 -148.609
-1079.65 5.09746 1201.45
407.642 -465.894 -803.295
789.089 472.753 -298.188
-557.322 -871.609 -603.593
119.395 192.693 399.758
478.736 707.194 138.989
-1477.51 626.53 478.506
978.984 -203.723 252.215
596.886 -377.493 -543.696
343.1 1124.61 -745.712
-143.296 -425.294 714.651
-291.505 -649.092 34.1208
474.826 1261.17 648.829
29.2286 -831.52 176.944
